Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Excel Skills for Business Specialization	4.9	Beginner level	Flexible schedule	Be comfortable navigating the Excel user interface, entering, manipulating and formatting data. Use formulas and functions to perform calculations on data. Automate choices and data lookups using functions. Analyze data and present the results in a user-friendly way. Create charts and tables that effectively summarize raw data. Create easy-to-use spreadsheets. Validate data, find and correct errors. Create navigation aids for large workbooks.	Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table	Excel Skills for Business: Essentials, Excel Skills for Business: Intermediate I, Excel Skills for Business: Intermediate II, Excel Skills for Business: Advanced	Dr Prashan S. M. Karunaratne, Professor Yvonne Breyer, Nicky Bull	Macquarie University	Business	https://www.coursera.org/specializations/excel	120.0	Microsoft Tools,Business,Data Analytics	44793.0
International Business Specialization	4.8	Beginner level	Flexible schedule	Comprehend and critique global business including trade theories, globalization, political and economic systems, ethics, and international trade law. Apply models of national culture to international marketing and human resource management. Understand methods of organizing international logistics and supply chains and explain foreign currency exchange and its risks. Analyze and evaluate the many modes and methods that businesses can participate in international markets.	International Finance, Global Marketing, International Trade, International Logisitics, International Living	International Business Context, International Business and Culture, International Business Operations, International Business Venturing Abroad	Stephen R. Lawrence	University of Colorado Boulder	Business	https://www.coursera.org/specializations/international-business	40.0	International Relations,Business,Ethics & Law,Management & Leadership	196.0
Google Digital Marketing & E-commerce Professional Certificate	4.8	Beginner level	Flexible schedule	Learn the fundamentals of digital marketing and e-commerce to gain the skills needed to land an entry-level job. Attract and engage customers through digital marketing channels like search and email. Measure marketing performance through analytics and present insights. Build e-commerce stores, analyze online performance, and grow customer loyalty.	Search Engine Optimization (SEO), E-Commerce, Email Marketing, display advertising, Marketing	Foundations of Digital Marketing and E-commerce, Attract and Engage Customers with Digital Marketing, From Likes to Leads: Interact with Customers Online, Think Outside the Inbox: Email Marketing, Assess for Success: Marketing Analytics and Measurement, Make the Sale: Build, Launch, and Manage E-commerce Stores, Satisfaction Guaranteed: Develop Customer Loyalty Online	Google Career Certificates	Google	Business	https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce	240.0	Marketing,Ecommerce	20668.0
Practical Guide to Trading Specialization	4.4	Beginner level	Flexible schedule	Understand the interconnectedness of the global capital markets Learn how to trade options, futures, currencies, and equities. Acquire knowledge of fixed income products such as corporate and municipal debt. Hands-on experience with IBKR’s global trading platform using a simulated trading account. 	Futures, World Markets, Options Strategies, Fundamental Analysis, Equities	Fundamentals of Equities, Forex - Trading Around the World, U.S. Bond Investing Basics, Derivatives - Options & Futures	Jeff Praissman, Andrew Wilkinson, Mary MacNamara, Lucas Deaver, Steven Levine	Interactive Brokers	Business	https://www.coursera.org/specializations/financial-instruments-trading-investing	40.0	Accounting & Finance,Economics	424.0
Relationship Management and Business Development 	4.4	Intermediate level	Flexible schedule	Implement effective strategies to identify and cultivate relationships with clients, stakeholders, and business partners. Apply techniques for segmenting target markets and utilizing proactive networking approaches to identify potential relationship opportunities. Build rapport and engage in effective communication within a business context, emphasizing trust, credibility, and strong connections. Leverage relationships to create business opportunities through a client-centric approach, and upselling, and nurturing long-term partnerships.	Relationship Building, Business development, Stakeholder Management, Networking, Rapport Building	Relationship Management and Business Development	Hector Sandoval	Starweaver	Business	https://www.coursera.org/learn/relationship-management-and-business-development	6.0	Business,Management & Leadership	42.0
Business and Financial Modeling Specialization	4.5	Beginner level	Flexible schedule	Create your own quantitative models. Harness the power of spreadsheets to map and predict data. Understand the measurement and management of risk. Structure your decision-making for optimum results.	Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP)	Fundamentals of Quantitative Modeling, Introduction to Spreadsheets and Models, Modeling Risk and Realities, Decision-Making and Scenarios, Wharton Business and Financial Modeling Capstone	Don Huesman, Robert W. Holthausen, Senthil Veeraraghavan, Sergei Savin, Richard Waterman, Richard Lambert	University of Pennsylvania	Business	https://www.coursera.org/specializations/wharton-business-financial-modeling	40.0	Economics,Business	7736.0
Google Business Intelligence Professional Certificate	4.7	Advanced level	Flexible schedule	Explore the roles of business intelligence (BI) professionals within an organization. Practice data modeling and extract, transform, load (ETL) processes that meet organizational goals. Design data visualizations that answer business questions. Create dashboards that effectively communicate data insights to stakeholders.	Business Intelligence, Extraction, Transformation And Loading (ETL), Bigquery, Dashboarding and Reporting, Data Analysis, Data Modeling, Business Analysis, SQL, Tableau Software, Business Process, Sheets, Data Visualization	Foundations of Business Intelligence, The Path to Insights: Data Models and Pipelines, Decisions, Decisions: Dashboards and Reports	Google Career Certificates	Google	Business	https://www.coursera.org/professional-certificates/google-business-intelligence	80.0	Big Data,Business,Data Analytics	1001.0
Tableau Business Intelligence Analyst  Professional Certificate	4.7	Beginner level	Flexible schedule	Gain the essential skills necessary to excel in an entry-level Business Intelligence Analytics role. Learn to use Tableau Public to manipulate and prepare data for analysis. Craft and dissect data visualizations that reveal patterns and drive actionable insights. Construct captivating narratives through data, enabling stakeholders to explore insights effectively.	Data Analysis, Presentation Skills, Reporting Skills, data visualizations, Tableau Software, Data Management	Introduction to Business Analytics, Business Analysis Process, Data Ecosystem, Introduction to Tableau, Data Visualization with Tableau, Advanced Data Visualization with Tableau, Data Analysis with Tableau, Communicating Data Insights with Tableau	Tableau Learning Partner Instructor 	Tableau Learning Partner	Business	https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst	320.0	Data Analytics	215.0
International Business Essentials Specialization	4.5	Intermediate level	Flexible schedule	Build the essential business, academic and cultural skills necessary to succeed in international business. Practice a variety of ways to present data, probability and statistical estimation. Learn the essential mathematics required to succeed in international business, including equations and functions. Explore the international business environment in which organisations function, learning about core analysis methods such as PESTLE and SWOT.	Delegation, Business Plan, Pest Analysis, Statistical Hypothesis Testing	Professional Skills for International Business, Management Skills for International Business, Quantitative Foundations for International Business, Statistics for International Business, International Business Environment, International Business Capstone	David James, Barry McCarthy, Dr Alan Parkinson, George Kapetanios	University of London	Business	https://www.coursera.org/specializations/mba	80.0	Business,International Relations,Management & Leadership,Data Analytics	1212.0
Business Writing	4.8	Beginner level	Flexible schedule	Write clearly and effectively.	Grammar, Communication, Business Writing, Writing	Building Great Business Writing, The Formula for Writing Success, Crafting Powerful Writing, Activate Your Voice!	Dr. Quentin McAndrew	University of Colorado Boulder	Business	https://www.coursera.org/learn/writing-for-business	12.0	Business,Languages & Literature	4522.0
Creating a Free Business Page with Blogger	4.6	Beginner level	Hands-on learning	Make business page on Blogger platform. Create social media content to promote business. Communicate with clients.	Social Media, Small Business, Blogging, Marketing	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/free-blogger-business-page	1.0	Social Media,Marketing,Technology,Business	116.0
Foundations of Business Strategy	4.8	Beginner level	Flexible schedule	How to use the SWOT, competitor, and environmental analysis tools. How to assess an industry's structure and how the competitive dynamics in an industry affect profitability. How to complete a capabilities analysis and how to use this analysis to guide decision making. How to analyze the advantages and disadvantages of four generic competitive positions	Strategic Analysis, Capabilities Analysis, Industry Structure, Business Strategy, Competitive Position	Introduction to Strategic Analysis, Analyzing Industry Structure, Analyzing Firm Capabilities, Determining Competitive Position	Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-foundations-business-strategy	9.0	Business,Management & Leadership	2892.0
